"","type","text"
"30","ham","Ok thanx..."
"31","ham","Ok.ok ok..then..whats ur todays plan"
"32","ham","1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)"
"33","ham","Sorry, I'll call later"
"34","ham","Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too"
"35","spam","U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16"
"36","ham","Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor."
"37","ham","Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts"
"38","ham","Oh k :)why you got job then whats up?"
"39","spam","SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
"40","ham","Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready."
"41","ham","Nationwide auto centre (or something like that) on Newport road. I liked them there"
"42","ham","He is there. You call and meet him"
"43","ham","Yeah sure I'll leave in a min"
"44","spam","URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm"
"45","ham","Mah b, I'll pick it up tomorrow"
"46","ham","Then she dun believe wat?"
"47","ham","I've sent u my part.."
"48","ham","Hey so whats the plan this sat? "
"49","ham","Can you just come in for a sec? There's somebody here I want you to see"
"50","ham","Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside."
"51","ham","I think we're going to finn's now, come"
"52","ham","Our Prasanth ettans mother passed away last night. Just pray for her and family."
"53","ham","Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
"54","ham","He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages all over his arms every five minutes"
"55","ham","You please give us connection today itself before  DECIMAL  or refund the bill"
"56","spam","Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16"
"57","ham","Mum not going robinson already."
"58","ham","Got meh... When?"
"59","ham","We are both fine. Thanks"
"60","ham","awesome, how do I deal with the gate? Charles told me last night but, uh, yeah"
"61","ham","I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
"62","ham","Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with"
"63","ham","Hey! do u fancy meetin me at 4 at cha – hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x"
"64","ham","no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
"65","ham","If you want to mapquest it or something look up usf dogwood drive, that's the tiny street where the parking lot is"
"66","ham","Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)"
"67","ham","Becoz its  #  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer"
"68","ham","Good. do you think you could send me some pix? I would love to see your top and bottom..."
"69","ham","Beautiful Truth against Gravity.. Read carefully: Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.. GOOD NIGHT"
"70","ham","Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*"
"71","ham","Lara said she can loan me  # ."
"72","ham","Dunno leh cant remember mayb lor. So wat time r we meeting tmr?"
"73","ham","So wats ur opinion abt him and how abt is character?"
"74","ham","Oh oh... Wasted... Den muz chiong on sat n sun liao..."
"75","ham","Are you at work right now ?"
"76","ham","Bring home some Wendy =D"
"77","ham","Ok going to sleep. Hope i can meet her."
"78","ham","Allo! We have braved the buses and taken on the trains and triumphed. I mean we€˜re in b€˜ham. Have a jolly good rest of week"
"79","ham","Hmmm:)how many players selected?"
"80","ham","You flippin out yet?"
"81","ham","Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock."
"82","spam","URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm"
"83","spam","1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m)"
"84","ham","Nope. Since ayo travelled, he has forgotten his guy"
"85","ham","Hey tmr maybe can meet you at yck"
"86","ham","Ok i'm coming home now."
"87","ham","u called dad oredi..."
"88","ham","Alright, I'll head out in a few minutes, text me where to meet you"
"89","ham","*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?"
"90","ham","Will be office around 4 pm. Now i am going hospital."
"91","spam","ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT CARE. BAILIFF DUE IN DAYS. I O £250 3 WANT £800"
"92","ham","Yup bathe liao..."
"93","ham","I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message."
"94","ham","S.this will increase the chance of winning."
"95","ham","How are you doing. How's the queen. Are you going for the royal wedding"
"96","ham","Dear reached railway. What happen to you"
"97","ham","Probably gonna swing by in a wee bit"
"98","ham","K k pa Had your lunch aha."
"99","ham","Whom you waited for yesterday"
"100","spam","Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm"
"101","spam","For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
"102","ham","Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time."
"103","ham","At home by the way"
"104","ham","Have a good evening! Ttyl"
"105","ham","Am watching house €“ very entertaining €“ am getting the whole hugh laurie thing €“ even with the stick €“ indeed especially with the stick."
"106","ham","But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died."
"107","ham","So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da"
"108","ham","She's good. How are you. Where r u working now"
"109","ham","Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)"
"110","ham","Lol you forgot it eh ? Yes, I'll bring it in babe"
"111","ham","Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later."
"112","spam","This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm"
"113","ham","have got * few things to do. may be in * pub later."
"114","ham","Wat u doing now?"
"115","ham","I'm a guy, browsin is compulsory"
"116","ham","No i am not having not any movies in my laptop"
"117","ham","What should i eat fo lunch senor"
"118","ham","Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
"119","ham","No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans"
"120","ham","AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX."
"121","ham","Please dont say like that. Hi hi hi"
"122","ham","Really? I crashed out cuddled on my sofa."
"123","ham","Dont show yourself. How far. Put new pictures up on facebook."
"124","ham","I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes..."
"125","ham","Boo I'm on my way to my moms. She's making tortilla soup. Yummmm"
"126","ham","What not under standing."
"127","ham","So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc."
"128","ham","Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming"
"129","ham","I didnt get anything da"
"130","ham","I want snow. It's just freezing and windy."
"131","ham","Bishan lar nearer... No need buy so early cos if buy now i gotta park my car..."
"132","ham","You stayin out of trouble stranger!!saw Dave the other day he’s sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! "
"133","ham","I've got  # , any way I could pick up?"
"134","spam","Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X"
"135","ham","U can call me now..."
"136","ham","Eatin my lunch..."
"137","ham","What will we do in the shower, baby?"
"138","ham","Leave it wif me lar... u wan to carry meh so heavy... Is da num 98321561 familiar to u?"
"139","ham","No just send to you. Bec you in temple na."
"140","ham","After completed degree. There is no use in joining finance."
"141","ham","Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No."
"142","ham","alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap"
"143","ham","Do I? I thought I put it back in the box"
"144","ham","I have many dependents"
"145","ham","Once a fishrman woke early in d mrng. It was very dark. He waited a while & found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up & he found out tht those r nt stones, those were diamonds. Moral:Dont wake up early in d mrng'' GOOD night"
"146","ham","Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
"147","ham","Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx"
"148","ham","Jus chillaxin, what up"
"149","ham","No break time one... How... I come out n get my stuff fr u?"
"150","spam","Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm"
"151","ham","Ok... Let u noe when i leave my house."
"152","ham","I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times."
"153","ham","Midnight at the earliest"
"154","ham","Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  #  dollars."
"155","ham","U should make a fb list"
"156","ham","Princess, is your kitty shaved or natural?"
"157","ham","Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it."
"158","ham","He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment"
"159","spam","U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565"
"160","ham","You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
"161","ham","Me fine..absolutly fine"
"162","ham","How much are we getting?"
"163","ham","Did you try making another butt."
"164","spam","+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm"
"165","ham","I am sorry it hurt you."
"166","spam","Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!"
"167","ham","Ok. C u then."
"168","ham","Ok leave no need to ask"
"169","ham","Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!"
"170","ham","I remain unconvinced that this isn't an elaborate test of my willpower"
"171","spam","You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"
"172","ham","Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
"173","spam","8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity "
"174","ham","Mm have some kanji dont eat anything heavy ok"
"175","ham","I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room."
"176","ham","Ya very nice. . .be ready on thursday"
"177","ham","Anything lar..."
"178","ham","Oh thanks a lot..i already bought 2 eggs .."
"179","ham","I know complain num only..bettr directly go to bsnl offc nd apply for it.."
"180","ham","No no. I will check all rooms befor activities"
"181","ham","No pic. Please re-send."
"182","ham","cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg.."
"183","ham","I donno if they are scorable"
"184","ham","Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must."
"185","ham","BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & I’LLSPEAK 2U SOONLOTS OF LOVEME XXXX."
"186","ham","Have you finished work yet? :)"
"187","spam","Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone"
"188","spam","Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p."
"189","ham","Gud mrng dear hav a nice day"
"190","ham","You are a very very very very bad girl. Or lady."
"191","ham","In e msg jus now. U said thanks for gift."
"192","ham","it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  # "
"193","ham","Aiyah e rain like quite big leh. If drizzling i can at least run home."
"194","ham","I have gone into get info bt dont know what to do"
"195","ham","That's a shame! Maybe cld meet for few hrs tomo?"
"196","spam","Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer"
"197","ham","Yupz... I've oredi booked slots 4 my weekends liao... "
"198","ham","Is that on the telly? No its Brdget Jones!"
"199","ham","Sorry man my account's dry or I would, if you want we could trade back half or I could buy some stuff with my credit card"
"200","spam","WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
"201","spam","FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline"
"202","ham","Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
"203","ham","Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
"204","ham","If he started searching he will get job in few days.he have great potential and talent."
"205","ham","As in missionary hook up, doggy hook up, standing...|"
"206","ham","Ok anyway no need to change with what you said"
"207","ham","#  great loxahatchee xmas tree burning update: you can totally see stars here"
"208","ham","hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?"
"209","ham","ELLO BABE U OK?"
"210","ham","u go home liao? Ask dad to pick me up at 6..."
"211","ham","u say until like dat i dun buy ericsson oso cannot oredi lar..."
"212","ham","Oooh I got plenty of those!"
"213","ham","What's a feathery bowa? Is that something guys have that I don't know about?"
"214","ham","Aight I'll grab something to eat too, text me when you're back at mu"
"215","ham","wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine KUDIyarasu dhina vaazhthukkal. .."
"216","ham","Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  "
"217","ham","I don't know but I'm raping dudes at poker"
"218","ham","When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important."
"219","ham","Mm not entirely sure i understood that text but hey. Ho. Which weekend?"
"220","spam","Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16"
"221","ham","You are gorgeous! keep those pix cumming :) thank you!"
"222","ham","Prabha..i'm soryda..realy..frm heart i'm sory"
"223","ham","It took Mr owl 3 licks"
"224","ham","No no. I will check all rooms befor activities"
"225","ham","Alright took the morphine. Back in yo."
"226","ham","No:-)i got rumour that you going to buy apartment in chennai:-)"
"227","ham","You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless."
"228","ham","Lol ok your forgiven :)"
"229","ham","Hi :)finally i completed the course:)"
"230","spam","Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186."
"231","ham","at bruce b downs & fletcher now"
"232","spam","Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ "
"233","ham","Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)"
"234","ham","Well. Balls. Time to make calls"
"235","spam","How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS)"
"236","ham","Awesome, be there in a minute"
"237","ham","Hey i've booked the 2 lessons on sun liao..."
"238","ham","S..antha num corrct dane"
"239","ham","Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired"
"240","ham","O. Well uv causes mutations. Sunscreen is like essential thesedays"
"241","ham","Boooo you always work. Just quit."
"242","ham","Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  #  or any bb"
"243","ham","In which place i can get rooms cheap:-)"
"244","ham","So why didnt you holla?"
"245","ham","In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade"
"246","ham","Hai priya are you right. What doctor said pa. Where are you."
"247","ham","Is she replying. Has boye changed his phone number"
"248","ham","At what time are you coming."
"249","ham","I hope your pee burns tonite."
"250","spam","BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary"
"251","spam","For sale - arsenal dartboard. Good condition but no doubles or trebles!"
"252","ham","4 tacos + 1 rajas burrito, right?"
"253","ham","At the funeral home with Audrey and dad"
"254","ham","Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked."
"255","ham","I place all ur points on e cultures module already."
"256","ham","Goin to workout lor... Muz lose e fats... "
"257","ham","Great escape. I fancy the bridge but needs her lager. See you tomo "
"258","ham","Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
"259","ham","What is this 'hex' place you talk of? Explain!"
"260","ham","He's just gonna worry for nothing. And he won't give you money its no use."
"261","ham","Ok., is any problem to u frm him? Wats matter?"
"262","ham","I am taking half day leave bec i am not well"
"263","ham","Wishing you and your family Merry X mas and HAPPY NEW Year in advance.."
"264","ham","Yes obviously, but you are the eggs-pert and the potato head... Speak soon! "
"265","ham","Wen did you get so spiritual and deep. That's great"
"266","ham","Now am free call me pa."
"267","ham","Dont know you bring some food"
"268","ham","In which place do you want da."
"269","ham","Then why you came to hostel."
"270","ham","Oh ya ya. I remember da. ."
"271","ham","Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted"
"272","ham","Long time. You remember me today."
"273","ham","Arun can u transfr me d amt"
"274","ham","Are you staying in town ?"
"275","ham","Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
"276","ham"," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
"277","spam","Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days"
"278","ham","Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng"
"279","ham","Yup next stop."
"280","ham","Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. "
"281","spam","URGENT! This is the 2nd attempt to contact U!U have WON £1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max£7. 50"
"282","ham","K, if u bored up just come to my home.."
"283","ham","When did i use soc... I use it only at home... u dunno how 2 type it in word ar..."
"284","ham","Unlimited texts. Limited minutes."
"285","ham","I'm going out to buy mum's present ar."
"286","ham","Haha... Really oh no... How? Then will they deduct your lesson tmr?"
"287","ham","Don no da:)whats you plan?"
"288","ham","I'm very happy for you babe ! Woo hoo party on dude!"
"289","ham","And is there a way you can send shade's stuff to her. And she has been wonderful too."
"290","ham","Sorry man, my stash ran dry last night and I can't pick up more until sunday"
"291","ham","You still at the game?"
"292","ham","Cheers for the card ... Is it that time of year already?"
"293","ham","Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face."
"294","ham","Carlos says he'll be at mu in  #  minutes"
"295","ham","A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied Boost is d secret of my energy n instantly d girl shouted our energy n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8"
"296","ham","I'm home, my love ... If your still awake ... *loving kiss*"
"297","ham","Tell your friends what you plan to do on Valentines day @ URL"
"298","ham","Ok lor u reaching then message me."
"299","ham","Booked ticket for pongal?"
"300","ham","Watching tv lor. Nice one then i like lor."
"301","ham","Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?"
"302","spam","Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18"
"303","ham","Oh yeah clearly it's my fault"
"304","ham","MMM ... Merry Christmas to me"
"305","ham","Call to the number which is available in appointment. And ask to connect the call to waheed fathima."
"306","ham","I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!"
"307","ham","haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons"
"308","spam","Your free ringtone is waiting to be collected. Simply text the password MIX to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
"309","ham","Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...& Traditions.... Have an ideal Christmas..."
"310","ham","May i call You later Pls"
"311","ham","Oh. U must have taken your REAL Valentine out shopping first."
"312","ham","2marrow only. Wed at  #  to 2 aha."
"313","ham","For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later.."
"314","ham","Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night"
"315","ham","Well then you have a great weekend!"
"316","spam","Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?"
"317","ham","I'm working technical support :)voice process.networking field."
"318","ham","i am seeking a lady in the street and a freak in the sheets. Is that you?"
"319","ham","Wat time liao, where still got."
"320","ham","Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
"321","ham","Have you emigrated or something? Ok maybe 5.30 was a bit hopeful..."
"322","ham","I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
"323","ham","My friends use to call the same."
"324","ham","K:)k:)what are detail you want to transfer?acc no enough?"
"325","ham","The  # g that i saw a few days ago, the guy wants sell wifi only for  #  and with 3g for  # . That's why i blanked him."
"326","ham","I think it's all still in my car"
"327","ham","Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!"
"328","spam","sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP"
"329","ham","In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8"
"330","ham","Yo im right by yo work"
"331","ham","In fact when do you leave? I think addie goes back to school tues or wed"
"332","ham","Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging "
"333","spam","Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence"
"334","spam","Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly"
"335","ham","I.ll get there tomorrow and send it to you"
"336","ham",", ow u dey.i paid 60,400thousad.i told  u would call . "
"337","ham","K I'll take care of it"
"338","ham","Watching tv now. I got new job :)"
"339","ham","SYMPTOMS when U are in love: 1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your"
"340","ham","Dude got a haircut. Now its breezy up there"
"341","ham","And maybe some pressies"
"342","ham","Haha good to hear, I'm officially paid and on the market for an 8th"
"343","ham","Yeah, probably earlier than that"
"344","ham","Im done. Just studyn in library"
"345","ham","Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order"
"346","ham","I'll probably be around mu a lot"
"347","ham","is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? "
"348","ham","Wait  #  min.."
"349","ham","Sweet heart how are you?"
"350","ham","In the end she might still vomit but its okay. Not everything will come out."
"351","ham","That's very rude, you on campus?"
"352","ham","So do you have samus shoulders yet"
