Hotel_Name_City,Review_Title,Review_Overall_Rating,Review_Date,date_of_review,Review_Content,Medium_of_Review,Month_of_Visit,Review_Type,Rating_Value,Rating_Location,Rating_Sleep_Quality,Rating_Rooms,Rating_Cleanliness,Rating_Service,Reviewer_Name,Reviewer_Location,Total_Reviews_by_Reviewer,Total_Hotel_Reviews_by_Reviewer,Reviews_in_Cities,Total_Helpful_Votes,Helpful_Votes_this_review,Room_Tips,Response_to_Review,Response_to_Review_Date,Review_collected_in_partnership,Page_URL
Coffea Aroma Resort - Wayanad Meppadi,“True Green Nature Resort”,4,4/21/2014,4/21/2014,It was an amazing experience at the Coffea resort with loved once.The refuge is located center of the coffee estate and forest with nature; music (by birds and wind flow through the trees). Nice and low water fall besides to the refugesFood was decent and tasty. And the service is fair and reliable.Ultimately; it was a memorable trip.,via Web,Apr-14,as a couple,4,5,4,4,5,5,amarisrama,"Bangalore, Karnataka, India",5,NA,3,2,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r202001394-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Awesome place and Resort”,5,3/18/2014,3/18/2014,I had been to this resort for 3 days trip. it is awesome with lovely rooms and the service. Food was very good which was not expected. Employees of resort was very good and honest. Resort was located in between the coffee estate with colorful and pleasant nature.Service; Food and nature was very good. Thanks to Coffea Aroma Team.,via Web,Mar-14,as a couple,5,5,5,5,5,5,Yeswanth0504,"Bangalore, India",1,NA,NA,1,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r197822626-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Away from city life”,4,3/15/2014,3/15/2014,Came for a weekend getaway with friends. It was a bit hard to find the place since sign board to turn off the main road was small; but a friend had come here before so he remembered the timber yard which was used as a waypoint. The resort is about 3km off the main road and in middle of coffee plantations. You might have trouble bringing smaller cars since the road leading to resort from main road is not paved.Once you reach the resort the good stuff begins. Resort is very peaceful and in middle of nature with a waterfall very close to it. The service from the staff is commendable; they did not hesitate to accommodate any of our requests. The rooms are fairly large but the quality is average but thats what you want staying at a place like this. Bathrooms were clean and hot water is available. Each cottage is placed at a distance from others so privacy is not a problem. They have a common area with some games to play like table tennis etc.Food was amazing!!! The staff was very happy to provide us with any dishes that we asked for.This would be my recommendation if you want to plan for a lazy getaway from civilization.,via Web,Feb-14,with friends,5,3,3,4,4,5,Balu_Mittathullil,"Thrissur, India",2,NA,2,2,1,Room Tip: Get rooms next to waterfall and stream. The sound of water flowing itself is very soothing.,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r197514117-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Very close to the nature”,4,03-05-2014,03/05/2014,If you want to realx amidst greenery with nature all around in Wayanad; this is the place. We did a very last minute booking and got 2 huts very near to the waterfall - Note that they have a very beautiful waterfall inside their campus. From the main road; their resort is around 2.5 kms inside which is a beautiful and adventourous drive. Please dont expect this to be very luxourious - but you will get much better than what you expect for the price you pay. The staff is super awesome and always ready to help. The room service is also too good. We actually spent most of our time in the resort when we were in wayanad.,via Web,Apr-13,with family,5,5,3,3,3,4,Mini G,"Bangalore, India",14,8,12,1,1,Room Tip: Rooms next to the waterfall are nice,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r196255201-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“a different experience”,4,02-02-2014,02/02/2014,I would recommend coffea aroma to anyone who wishes to escape to the blissful silence and beauty of mother nature! Every body in our group loved the experience and wish to go back once again. We were also quite impressed with the service and hospitality of the staff. However; the road to get there is a bit tough; but worth it!,via Web,Jan-14,with friends,4,4,3,3,4,4,hotcash,"Chennai, India",1,NA,NA,1,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r192816657-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“a very peaceful place to spend time :)”,4,02-01-2014,02/01/2014,i have been to many a place in wayanad and coffea aroma is one of the best there. the best feature is that the place is very peaceful. the food and rooms are good too. Sadly the waterfall was so not lovely because there was very less water. overall a good place and i would suggest.,via Web,Jan-14,as a couple,5,5,4,4,4,4,jeeni1984,Bangalore,2,NA,2,1,NA,Room Tip: honeymoon or wood house!!!,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r192770168-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Nice family stay”,4,01-08-2014,01/08/2014,Stayed in the wood house for 2 nights in Dec 2013 with family (including 2 kids 9 and 7). Approach from main road is rough so it is better to park your car in the church premise by the main road (the SUVs can take it easily). The pros-+ Resort facility is very good including the picturesque stream and small waterfall; play area with the trampoline (a hit with my kids); table tennis; carom; string tennis & shuttle; and watch tower and lots and lots of trees in the coffee plantations.+ wood house was well built with a sit out offering good privacy for peaceful reading on the porch or even meditation :)+ Akhil was very friendly and even showed the pets in the facility (dogs; birds) to my kids.+ There seems to be a good spa but we could not use it. You will have to plan ahead and book the service so that the management could arrange for the spa treatment accordingly. + The pick up and drop service in a Mahindra jeep from / to resort & church on the main road (about 3 KM) is dependable and well organized by the management.The cons-- Food was very average and the tables in the café could be kept cleaner.- The natural pool formed by the stream is clean but has a few mosquitos so beware. We spent an hour by the falls (there are 3 levels of the falls) and my kids enjoyed playing under the falls.- Prices of beverages are a tad higher so bring in your beverages including bottled water.- if you decide to spend the entire day in the resort lunch options are limited.Places we visited- Close to Pookut lake (less than 20KM); banasura dam (35KM). Overall - a great place to peacefully spend 2 days of your vacation.,via Web,Dec-13,with family,3,4,4,4,3,4,BSK_traveller,"Bangalore, Karnataka, India",36,7,12,3,2,Room Tip: Wood house is where we stayed;,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r190101808-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Coffee Aroma Resort;Wayanad”,5,01-06-2014,01/06/2014,We chose Coffee Aroma Resort for our stay just before xmas 2013.Coffee Aroma is a picture perfect resort in the midst of acres of coffee plantations and greenery.The resort has a beautiful n small waterfall which is captivating.Even if you don't go out for sight seeing; you can spend your days here.The staff are very courteous and amicable.They serve excellent food.Kids can play indoor n outdoor games.Our only regret was we could not spend much time at the resort.,via Web,Dec-13,with family,5,5,5,4,5,4,DrA5374,"Bangalore, India",1,NA,NA,1,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r189861633-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Never ever again!”,1,01-06-2014,01/06/2014,Seeing many reviews we decided to go to Coffea Aroma; unfortunately it turned out to be a nightmare to spend a single night in one of claimed best cottage-The Honeymoon Cottage!It was the most expensive out of all they had on offer on their website. The room was extremely dirty and damp; the ceiling which must be originally white had turned black with fungal growth which resulted in a strong damp smell in the cottage and it was impossible to stay inside even for couple of minutes. Room spray did not help with the smell. There was a thin carpet which has never seen a laundry ever and had it is own addition of dust and aroma to add the cottage's cleanliness. The basic hygine and room service was poor. The outlet from the only wash basin leaked all the over the floor. The bedsheets and blankets were smelly and dirty!!!!!!Though the location was nice one could not enjoy because of inadequate maintenance and cleanliness. It was definitley not worth the money charged by the resort managers!Sorry! We cannot be more positive about the place. (We even have pictures taken of the dirty cottage.),via Web,Jan-14,with family,1,3,1,1,1,1,Kphadwal,"Edinburgh, United Kingdom",1,NA,NA,1,10,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r189819157-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Nice resort !!”,5,12/30/2013,12/30/2013,It was an amazing experience and I will try to explain it to the best of my abilities.First of all this resort is located very close to Chembra Peak and in the midst of the coffee plantation and greenery located there and they have all sorts of rooms here..Twin Cottages; Bamboo Suite and many many more...and the staff here is just amazing.. room service is just so spot on..and the place is magnificent in itself..The scenery is just amazing ..and it is indeed one of the best resorts ever..and the Manager Akhil is a wonderful man..always ready to lend a helping hand..If you are going to wayanad then this is the place to be..,via Web,Dec-13,as a couple,5,5,5,5,5,5,somarghyadas,"Bangalore, Karnataka, India",15,6,8,2,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r189030961-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Amazing and cool!!”,4,11/27/2013,11/27/2013,1)Place is very good; in the midst of nature.Greenery all round;Loved the place absolutely.2) Rooms are well maintained.3)Staff members are very courteous and friendly.4)Good value for money.5)Food was good.We were non keralites and the staff over there took out their time at night to leave us to the right place for boarding our return journey. Akhil and his team is very responsive and responds immediately.Their hospitality and caring attitude was truly amazing.The resort was peacefull away from all traffic and other busy movements; the falls which runs in midst of resort was amazing feeling and we felt like we were in the lap of mother nature.,via Web,Nov-13,as a couple,5,4,5,4,4,5,bharathrsagar,"Bangalore, India",2,NA,NA,NA,NA,Room Tip: We stayed in wooden house; it was both very comfy and it had the feel of a tree house.,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r186062574-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Family Outing”,3,11-11-2013,11/11/2013,Located amidst 6000 acre dense coffee estate; Coffea Aroma is a paradise; especially when it is raining. It is situated 3 kms from the main road and reaching the place is an off roaders dream. We were a family of 5 travelling from Bangalore; in a hatchback. So we were promptly advised by Akhil (The guy who manages the resort) to take their Jeep ride from the main road; instead of struggling in our vehicle on that bumpy road to reach the resort. Akhil is a very accommodative person; he allowed 5 heads to stay at the cost of 4; without charging anything extra for the stay or food. Akhil and Benny are always out there if you need them; EVEN if it is bang in the middle of the night; like it happened with us. My mum had trouble breathing (may be because of altitude change) and they rushed to us within three minutes of calling at like 3:30 in the night; very courteous of them. Regarding the stay; I believe that the Twin Cottages that we had rented requires maintenance. The cottage needs some renovation done; as the persistent rain that Wayanad has received during the last 5 months might have caused damage to the walls - they look damp and dull. The Rooms need some brighter shade of painting; which will definitely give a better look. Bathrooms were pretty well maintained though; with the facility of a Geyser; which is an absolute must during the Rainy and Winter seasons. Likes:1. LOCATION - Coffee plantations; Streams and Waterfalls 2. Jeep Ride to the resort3. Service - people were helpful4. Value for moneyScope for Improvement1. Room Maintenance – Cleanliness of the Cottages requires improvement 2. Food – A little more variety/spread of the buffet wouldn't harm with a slight improvement in quality as well3. Room lighting – Brighter lighting required,via Web,Nov-13,with family,4,5,4,3,3,4,envy83,bangalore,1,NA,NA,1,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r184315543-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Awesome”,5,09-06-2013,09/06/2013,It was a nice experience. The stay was very peaceful away from all traffic. The resort also had good games which kept the kids occupied. we also walked around the resort to the nearby village. really good experience.The food; hospitality and personal care was truly amazing .,via Web,Mar-13,with friends,5,5,5,5,5,5,Rajesh646,"Noida, Uttar Pradesh, India",2,NA,2,NA,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r176007093-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Peaceful at its best”,4,06-02-2013,06/02/2013,The stay was very peaceful away from all traffic. room needs to be little more clean but was quite good. service & food was also quite good & authentic. over all great stay. The resort also had good games which kept the kids occupied. we also walked around the resort to the nearby village. really good experience. Tips - must stay at the wood house. - Anisha,via Web,Apr-13,with family,3,4,4,3,3,4,Angeloid,"Pune, India",2,NA,2,NA,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r162715716-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Aweome trip”,4,05-07-2013,05/07/2013,Please read the full review.I booked twin cottage. room was ok but need to bit hygiene in the bath room...Coffea aroam; as name suggest it is surround by coffee plantation. It is in good location no disturb of traffic.you feel like your in coffee estate. Near to coffee aroam their will be a stream of water flow that will give + pointfor the resort. Hospitality was good and staffs are polite. the resort is near to chembra peak you can do trekking from the resort the food is good only if you tell how you want it. if you like kerala type dish then its OK.Disadvantage: Its 4 to 5 km inside main road. the roads are humpty dumpty.Pick and drop: they charged 800 from us.They arranged cab facility for us 2 days and charged 3600.i feel that is costly because we didn't go more than 120 km from 2 days.first day they charged 1600 and second day 2000. i asked why ? they said you traveled lot in second day.without showing how many kilometer we traveled. i went for vacation with family so i didn't quarrel.If you have your own vehicle; this was the place to hangout and spend most memorable time with your family.,via Web,May-13,with family,4,5,4,3,4,4,KiranMGowda,"Bangalore, India",1,NA,NA,1,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r159866586-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Wonderful Experience”,4,4/17/2013,4/17/2013,Visited the resort with my wife and kids. Awesome experience. The food; hospitality and personal care was truly amazing. Akhil the Resort Manager; Benny and the support staff were very helpful and ensured my stay was truly pleasant. Travelling with small kids was a concern; but the games; facilities in the resort ensured that they were kept busy. Many things to do within the resort itself - The Natural waterfall; Natural Pond; Rose Wood Park; indoor games like Archery; Table Tennis; Trampoline etc..And overall just breathe in the pure natural fresh air - Rejuvenating experience !!.Point to Note :- The Road from the main Kunnampetta to the resort is a forest road and not sure if the regular Sedans could handle it. Suggested for Cars / SUVs with High road clearance. Other than this there no negative points at all.,via Web,Apr-13,with family,4,4,4,4,4,4,SUVTravellor,"Bangalore, India",3,3,3,1,1,Room Tip: The Wood House; Bamboo Suite are very well maintained & have a sit out facing the Resort. Honeym...,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r157997922-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Visited again with in-laws”,5,04-12-2013,04/12/2013,I visited the resort once again with wife and my in-laws..It was a really awesome experience yet again. The food; hospitality and personal care was truly amazing.. Living in the midst of all the hassles; pollution and traffic problems of Mumbai; i found this resort experience really blissful; serene and pristine..I did some trekking after a long time to Chembra peak and enjoyed it thoroughly..My in-laws also had a great time..We stayed in the bamboo hut and wood house..The wood house is really great and the tv is a great addition..overall; if you love nature and adventure; dont miss this place!!!,via Web,Apr-13,with family,5,5,5,5,5,5,PraneshJ,Mumbai,2,NA,NA,1,1,Room Tip: We stayed in the bamboo hut and the wood house..Both are really good...,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r157475640-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Lush greenery .. Excellent location..Unique in all ways”,5,03-10-2013,03/10/2013,We had a family get together at coffeaaroma resort Wayanad. It was an excellent location with green surroundings and cool climate. The main attraction in this resort is the Waterfalls through the majestic rochs and the stream below. We can have the view of misty Chembra peak from the stream. This view itself is worth. The rooms are good and unique. All made in differtent themes. We stayed at Twin cottages which was economical. The restaurent is facing the stream and the view of jungle opposite is a different experience. You will have the feeling of being inside a jungle with the sound of chirping birds and view of trees surroundings. Being inside the coffee plantation makes it look green everywhere. The staff arranged us a campfire and we really enjoyed our experience here. Kudos to all staff and we are looking to come here again,via Web,Jan-13,with family,5,5,5,5,5,5,vvlorence,Trichur,2,NA,NA,1,1,Room Tip: There are different types of cottages.. Twin cottages are value for money and are good..,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r154153966-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“The warmest welcome from the charming helpful staff”,4,03-08-2013,03/08/2013,We are a 4 ppl girl gang from essex who were looking for a fun time in wild wayanad with elephants and snapsand. Casual. We got all this and more. From the moment we called to enquire about the place; Akil was the most accommodating host who went out of his way to help us. Jamsind cooked us delicious food and was the most enthusiastic of room service providers. We had an amazing all day safari with Vibin topped off with a camp fire; music and a night walk with Jaguar- the greatest of great danes. What a hen night! The rooms have lots of character and are very comfortable. All in all; great value for money. One word of advice is to check beforehand if you want to go for the Ayurvedic spa; as when we went the regular staff weren't there so it wasn't quite up to scratch. Nonetheless overall boom time.,via mobile,Mar-13,NA,5,4,NA,5,5,5,WendyNedlock,,3,3,3,3,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r154008856-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
